Date,Open,High,Low,Close,Volume,Adj Close,Diff,StockUp,Year,Month,Day
2015-08-14,114.32,116.309998,114.010002,115.959999,42929500,114.842576,-1.639999,0,2015,8,14
2015-08-13,116.040001,116.400002,114.540001,115.150002,48535800,114.040384,0.889999,1,2015,8,13
2015-08-12,112.529999,115.419998,109.629997,115.239998,101217500,114.129513,-2.709999,0,2015,8,12
2015-08-11,117.809998,118.18,113.330002,113.489998,97082800,112.396376,4.32,1,2015,8,11
2015-08-10,116.529999,119.989998,116.529999,119.720001,54951600,118.566345,-3.190002,0,2015,8,10
2015-08-07,114.580002,116.25,114.5,115.519997,38670400,114.406813,-0.939995,0,2015,8,7
2015-08-06,115.970001,116.5,114.120003,115.129997,52903000,114.020572,0.840004,1,2015,8,6
2015-08-05,112.949997,117.440002,112.099998,115.400002,99312600,113.772984,-2.450005,0,2015,8,5
2015-08-04,117.419998,117.699997,113.25,114.639999,124138600,113.023697,2.779999,1,2015,8,4
2015-08-03,121.5,122.57,117.519997,118.440002,69976000,116.770124,3.059998,1,2015,8,3
2015-07-31,122.599998,122.639999,120.910004,121.300003,42885000,119.589801,1.299995,1,2015,7,31
2015-07-30,122.32,122.57,121.709999,122.370003,33628300,120.644715,-0.050003,0,2015,7,30
2015-07-29,123.150002,123.5,122.269997,122.989998,37011700,121.255969,0.160004,1,2015,7,29
2015-07-28,123.379997,123.910004,122.550003,123.379997,33618100,121.64047,0,0,2015,7,28
2015-07-27,123.089996,123.610001,122.120003,122.769997,44455500,121.03907,0.319999,1,2015,7,27
2015-07-24,125.32,125.739998,123.900002,124.5,42162300,122.744682,0.82,1,2015,7,24
2015-07-23,126.199997,127.089996,125.059998,125.160004,50999500,123.39538,1.039993,1,2015,7,23
2015-07-22,121.989998,125.5,121.989998,125.220001,115450600,123.454532,-3.230003,0,2015,7,22
2015-07-21,132.850006,132.919998,130.320007,130.75,76756400,128.906563,2.100006,1,2015,7,21
2015-07-20,130.970001,132.970001,130.699997,132.070007,58900200,130.20796,-1.100006,0,2015,7,20
2015-07-17,129.080002,129.619995,128.309998,129.619995,46164700,127.79249,-0.539993,0,2015,7,17
2015-07-16,127.739998,128.570007,127.349998,128.509995,36222400,126.69814,-0.769997,0,2015,7,16
2015-07-15,125.720001,127.150002,125.580002,126.82,33649200,125.031972,-1.099999,0,2015,7,15
2015-07-14,126.040001,126.370003,125.040001,125.610001,31768100,123.839032,0.43,1,2015,7,14
2015-07-13,125.029999,125.760002,124.32,125.660004,41440500,123.888331,-0.630005,0,2015,7,13
2015-07-10,121.940002,123.849998,121.209999,123.279999,61354500,121.541881,-1.339997,0,2015,7,10
2015-07-09,123.849998,124.059998,119.220001,120.07,77821600,118.37714,3.779998,1,2015,7,9
2015-07-08,124.480003,124.639999,122.540001,122.57,60761600,120.841892,1.910003,1,2015,7,8
2015-07-07,125.889999,126.150002,123.769997,125.690002,46946800,123.917906,0.199997,1,2015,7,7
2015-07-06,124.940002,126.230003,124.849998,126,28060400,124.223533,-1.059998,0,2015,7,6
2015-07-02,126.43,126.690002,125.769997,126.440002,27211000,124.657332,-0.010002,0,2015,7,2
2015-07-01,126.900002,126.940002,125.989998,126.599998,30238800,124.815072,0.300004,1,2015,7,1
2015-06-30,125.57,126.120003,124.860001,125.43,44370700,123.66157,0.14,1,2015,6,30
2015-06-29,125.459999,126.470001,124.480003,124.529999,49161400,122.774258,0.93,1,2015,6,29
2015-06-26,127.669998,127.989998,126.510002,126.75,44066800,124.962959,0.919998,1,2015,6,26
2015-06-25,128.860001,129.199997,127.5,127.5,31938100,125.702385,1.360001,1,2015,6,25
2015-06-24,127.209999,129.800003,127.120003,128.110001,55280900,126.303785,-0.900002,0,2015,6,24
2015-06-23,127.480003,127.610001,126.879997,127.029999,30268900,125.23901,0.450004,1,2015,6,23
2015-06-22,127.489998,128.059998,127.080002,127.610001,34039300,125.810835,-0.120003,0,2015,6,22
2015-06-19,127.709999,127.82,126.400002,126.599998,54716900,124.815072,1.110001,1,2015,6,19
2015-06-18,127.230003,128.309998,127.220001,127.879997,35407200,126.077025,-0.649994,0,2015,6,18
2015-06-17,127.720001,127.879997,126.739998,127.300003,32918100,125.505208,0.419998,1,2015,6,17
2015-06-16,127.029999,127.849998,126.370003,127.599998,31494100,125.800973,-0.569999,0,2015,6,16
